Motor,Track #,Label,Number spots,Number Gaps,Longest Gap,Number Splits,Number Merges,Number Complex,Track Duration,Track start,Track stop,Track Displacement,Track Index,Track ID,Track X Location,Track Y Location,Track Z Location,Track Mean Speed,Track Max Speed,Track Min Speed,Track Median Speed,Track STD Speed,Track Mean Quality,Track Max Quality,Track Min Quality,Track Median Quality,Track Std Quality
Kinesin-4,11,Track_174,20,0,0,0,0,0,10.621,3.354,13.975,1.016,174,174,23.777,8.875,0,0.12,0.425,0.004,0.041,0.157,848.071,1050.281,610.635,859.631,109.026
Kinesin-4,12,Track_187,6,0,0,0,0,0,2.795,3.913,6.708,2.305,187,187,24.88,30.331,0,0.828,2.147,0.317,0.591,0.751,889.044,996.828,804.442,879.618,64.887
Kinesin-4,13,Track_263,17,0,0,0,0,0,8.944,7.826,16.77,0.411,263,263,66.644,24.306,0,0.361,0.826,0.107,0.374,0.198,926.3,1790.099,286.321,796.263,515.771
Kinesin-4,14,Track_325,15,0,0,0,0,0,7.826,8.944,16.77,3.282,325,325,25.008,26.476,0,0.428,1.623,0.117,0.306,0.4,1070.227,1440.985,878.768,1064.077,143.67
Kinesin-4,15,Track_365,2,0,0,0,0,0,0.559,10.621,11.18,0.381,365,365,33.157,40.576,0,0.682,0.682,0.682,0.682,NaN,879.42,1123.585,635.255,1123.585,244.165
Kinesin-4,16,Track_397,4,0,0,0,0,0,1.677,11.739,13.416,0.821,397,397,73.484,69.653,0,0.49,0.508,0.476,0.486,0.016,967.12,1039.497,911.723,974.542,47.323
Kinesin-4,17,Track_455,43,0,0,0,0,0,23.478,14.534,38.012,1.337,455,455,53.804,20.357,0,0.074,1.07,0.002,0.02,0.181,923.19,1179.129,622.696,923.351,131.328
Kinesin-4,18,Track_492,174,0,0,0,0,0,96.707,15.093,111.8,1.914,492,492,70.352,11.566,0,0.077,1.435,0.002,0.031,0.168,1077.066,2417.566,296.382,1002.895,459.537
Kinesin-4,19,Track_528,33,0,0,0,0,0,17.888,17.329,35.217,1.867,528,528,33.467,41.117,0,0.116,0.592,0.012,0.097,0.109,926.907,1371.695,564.256,854.582,234.955
Kinesin-4,20,Track_560,8,0,0,0,0,0,3.913,17.329,21.242,2.262,560,560,29.396,42.648,0,0.58,1.655,0.162,0.477,0.49,1480.973,1836.701,832.666,1503.949,292.879
Kinesin-4,21,Track_575,12,0,0,0,0,0,6.149,17.888,24.037,2.882,575,575,9.16,79.413,0,0.534,1.844,0.208,0.36,0.481,1777.414,2184.121,1552.491,1803.308,197.068
Kinesin-4,22,Track_692,20,0,0,0,0,0,10.621,22.919,33.54,3.669,692,692,52.049,51.904,0,0.346,1.245,0.016,0.341,0.278,1336.733,1881.928,840.327,1410.602,324.936
Kinesin-4,23,Track_760,29,1,1,0,0,0,16.211,25.714,41.925,4.793,760,760,35.224,63.891,0,0.378,1.695,0.003,0.313,0.387,863.005,1415.166,339.501,919.68,299.09
Kinesin-4,24,Track_776,5,0,0,0,0,0,2.236,25.714,27.95,0.957,776,776,26.58,8.75,0,0.429,0.545,0.316,0.521,0.121,1175.299,1572.76,314.972,1405.911,460.872
Kinesin-4,25,Track_783,4,0,0,0,0,0,1.677,25.714,27.391,0.667,783,783,58.307,40.386,0,0.399,0.47,0.315,0.413,0.078,989.053,1083.856,791.766,1070.575,117.255
Kinesin-4,26,Track_855,4,0,0,0,0,0,1.677,28.509,30.186,0.82,855,855,5.85,18.419,0,0.489,0.533,0.403,0.532,0.075,1801.035,1967.606,1692.405,1822.093,107.506
Kinesin-4,27,Track_856,25,0,0,0,0,0,13.416,28.509,41.925,0.464,856,856,73.075,58.775,0,0.09,0.554,0.005,0.032,0.14,2031.08,2501.629,1651.04,2078.73,229.452
Kinesin-4,28,Track_862,10,0,0,0,0,0,5.031,28.509,33.54,1.381,862,862,51.934,39.545,0,0.335,1.256,0.059,0.212,0.362,1300.76,1846.653,930.237,1216.332,277.12
Kinesin-4,29,Track_911,19,0,0,0,0,0,10.062,30.186,40.248,5.366,911,911,76.741,23.417,0,0.569,1.721,0.083,0.373,0.472,1234.113,1681.085,585.717,1232.712,263.26
Kinesin-4,30,Track_916,97,0,0,0,0,0,53.664,30.186,83.85,3.045,916,916,41.574,18.413,0,0.093,0.977,0.001,0.026,0.16,858.233,1657.234,464.87,859.355,224.746
Kinesin-4,31,Track_955,12,1,2,0,0,0,7.267,31.304,38.571,2.394,955,955,54.512,39.654,0,0.578,1.528,0.356,0.466,0.344,1306.878,2301.872,289.529,1616.072,649.253
Kinesin-4,32,Track_956,5,0,0,0,0,0,2.236,31.304,33.54,1.011,956,956,58.598,15.652,0,0.454,0.515,0.374,0.49,0.062,900.085,971.213,836.622,898.265,44.837
Kinesin-4,33,Track_1002,26,0,0,0,0,0,13.975,33.54,47.515,0.382,1002,1002,5.659,14.237,0,0.289,1.098,0.01,0.276,0.254,968.453,2066.656,301.693,988.67,362.134
Kinesin-4,34,Track_1042,12,0,0,0,0,0,6.149,34.099,40.248,2.867,1042,1042,58.733,65.877,0,0.468,2.095,0.076,0.355,0.552,1819.105,2060.282,1553.359,1781.741,174.961
Kinesin-4,35,Track_1170,9,1,1,0,0,0,5.031,39.689,44.72,1.411,1170,1170,29.707,43.552,0,0.231,0.69,0.033,0.214,0.203,860.607,1524.701,287.062,828.218,526.89
Kinesin-4,36,Track_1174,16,0,0,0,0,0,8.385,39.13,47.515,2.865,1174,1174,40.21,33.885,0,0.353,1.282,0.021,0.244,0.391,902.902,1451.694,297.846,880.59,243.68
Kinesin-4,37,Track_1204,46,1,1,0,0,0,25.714,39.689,65.403,7.915,1204,1204,5.816,19.152,0,0.449,2.015,0.001,0.304,0.462,1142.592,2074.131,551.476,1063.167,413.168
Kinesin-4,38,Track_1210,101,2,2,0,0,0,58.136,39.689,97.825,2.246,1210,1210,68.607,41.536,0,0.145,0.926,0.001,0.071,0.199,906.092,1621.574,276.629,982.96,425.866
Kinesin-4,39,Track_1278,6,1,2,0,0,0,3.913,42.484,46.397,0.546,1278,1278,47.085,63.459,0,0.128,0.401,0.007,0.063,0.157,1250.713,1756.062,283.723,1537.433,493.148
Kinesin-4,40,Track_1282,5,0,0,0,0,0,2.236,42.484,44.72,0.971,1282,1282,51.24,63.46,0,0.436,0.519,0.377,0.438,0.061,1731.514,2164.112,1536.293,1656.125,223.159
Kinesin-4,41,Track_1391,20,0,0,0,0,0,10.621,45.279,55.9,5.512,1391,1391,40.355,33.343,0,0.52,1.79,0.12,0.378,0.46,1049.599,1290.277,829.068,1058.178,120.495
Kinesin-4,42,Track_1410,82,0,0,0,0,0,45.279,45.279,90.558,1.823,1410,1410,73.95,58.664,0,0.055,0.781,0.003,0.023,0.108,1415.928,2253.582,339.25,1575.991,483.443
Kinesin-4,43,Track_1467,6,0,0,0,0,0,2.795,46.956,49.751,0.432,1467,1467,61.056,76.596,0,0.159,0.459,0.062,0.092,0.168,1238.922,1607.237,473.203,1474.879,384.08
Kinesin-4,44,Track_1656,4,0,0,0,0,0,1.677,53.664,55.341,0.68,1656,1656,13.386,61.262,0,0.407,0.467,0.334,0.42,0.067,844.368,1093.555,550.156,1031.249,225.667
Kinesin-4,45,Track_1701,14,0,0,0,0,0,7.267,54.782,62.049,2.672,1701,1701,39.154,36.571,0,0.406,1.247,0.025,0.341,0.331,902.421,1423.559,315.111,1012.925,334.596
Kinesin-4,46,Track_1826,3,0,0,0,0,0,1.118,59.254,60.372,0.284,1826,1826,66.619,28.682,0,0.254,0.35,0.158,0.35,0.135,853.957,1024.969,707.028,829.875,130.911
Kinesin-4,47,Track_1932,15,0,0,0,0,0,7.826,62.049,69.875,0.559,1932,1932,41.925,60.702,0,0.519,1.679,0.084,0.524,0.409,1123.145,2060.073,360.288,1097.766,495.418
Kinesin-4,48,Track_2024,5,0,0,0,0,0,2.236,64.844,67.08,0.853,2024,2024,73.525,23.335,0,0.382,0.454,0.233,0.424,0.1,1039.632,1245.667,803.351,1050.538,160.763
Kinesin-4,49,Track_2170,13,0,0,0,0,0,6.708,68.757,75.465,2.498,2170,2170,32.212,39.662,0,0.426,1.929,0.168,0.312,0.478,917.775,1761.127,436.525,820.924,312.976
Kinesin-4,50,Track_2408,14,1,1,0,0,0,7.826,77.142,84.968,3.449,2408,2408,68.595,40.023,0,0.57,1.88,0.142,0.272,0.532,1077.859,1575.585,291.198,1319.586,486.757
Kinesin-4,51,Track_2599,3,0,0,0,0,0,1.118,82.173,83.291,0.472,2599,2599,29.787,33.923,0,0.422,0.437,0.407,0.437,0.021,1262.089,1743.882,695.369,1347.016,432.245
Kinesin-4,52,Track_2677,5,0,0,0,0,0,2.236,84.409,86.645,0.385,2677,2677,19.499,41.09,0,0.173,0.367,0.053,0.163,0.137,1480.764,1772.939,1269.715,1453.173,176.605
Kinesin-4,53,Track_2688,13,0,0,0,0,0,6.708,84.968,91.676,1.959,2688,2688,11.791,1.235,0,0.305,0.872,0.043,0.355,0.274,869.241,1137.867,504.827,911.365,151.121
Kinesin-4,54,Track_2698,4,0,0,0,0,0,1.677,84.968,86.645,0.748,2698,2698,22.636,69.784,0,0.45,0.486,0.415,0.448,0.035,1794.474,2154.95,1410.263,1988.578,293.37
Kinesin-4,55,Track_2921,6,0,0,0,0,0,2.795,92.235,95.03,1.275,2921,2921,20.982,50.556,0,0.459,0.99,0.24,0.366,0.302,886.328,1177.265,313.525,953.112,287.194
Kinesin-4,56,Track_2968,4,0,0,0,0,0,1.677,93.353,95.03,0.825,2968,2968,64.069,29.382,0,0.492,0.519,0.448,0.508,0.038,1005.168,1454.5,637.029,964.932,291.857
Kinesin-4,57,Track_3125,5,0,0,0,0,0,2.236,98.384,100.62,1.109,3125,3125,30.944,60.442,0,0.497,0.583,0.425,0.519,0.07,1013.709,1293.233,813.028,981.329,163.357
Kinesin-4,58,Track_3251,3,0,0,0,0,0,1.118,101.738,102.856,0.614,3251,3251,13.059,18.185,0,0.549,0.626,0.472,0.626,0.108,1609.044,2198.42,1099.259,1529.453,452.246
Kinesin-4,59,Track_3394,12,0,0,0,0,0,6.149,105.651,111.8,0.821,3394,3394,12.665,19.589,0,0.135,0.773,0.011,0.068,0.218,1871.125,2321.751,1447.993,2015.054,331.291
Kinesin-4,60,Track_3395,31,2,1,0,0,0,17.888,106.21,124.098,8.404,3395,3395,13.778,46.401,0,0.513,2.194,0.016,0.395,0.481,843.928,1566.39,278.025,777.635,283.458
Kinesin-4,61,Track_3415,10,0,0,0,0,0,5.031,106.769,111.8,2.098,3415,3415,40.557,31.562,0,0.419,1.234,0.108,0.313,0.33,1037.422,1178.412,821.727,1066.751,104.443
Kinesin-4,62,Track_3542,7,0,0,0,0,0,3.354,111.241,114.595,1.739,3542,3542,50.988,52.726,0,0.526,1.596,0.193,0.373,0.533,1130.325,1347.081,716.067,1191.207,206.286
Kinesin-4,63,Track_3561,41,2,2,0,0,0,24.596,112.359,136.955,4.45,3561,3561,37.502,33.059,0,0.345,1.801,0.007,0.319,0.385,1682.756,2453.428,286.183,1916.967,557.64
Kinesin-4,64,Track_3660,245,0,0,0,0,0,136.396,115.154,251.55,1.263,3660,3660,31.304,21.253,0,0.117,1.357,4.00E-04,0.035,0.192,1372.413,2026.311,536.656,1374.373,279.731
Kinesin-4,65,Track_3699,94,1,2,0,0,0,53.105,116.272,169.377,0.308,3699,3699,50.568,34.287,0,0.155,1.595,0.002,0.045,0.241,1436.575,2370.531,299.016,1436.76,412.072
Kinesin-4,66,Track_3703,48,1,1,0,0,0,26.832,117.39,144.222,1.204,3703,3703,30.986,22.396,0,0.117,0.66,0.004,0.078,0.129,1454.248,2303.617,308.059,1403.22,432.178
Kinesin-4,67,Track_3767,4,0,0,0,0,0,1.677,116.831,118.508,1.545,3767,3767,7.481,0.648,0,0.923,2.333,0,0.435,1.24,936.126,1155.194,566.532,1064.422,224.468
Kinesin-4,68,Track_3878,5,0,0,0,0,0,2.236,120.744,122.98,0.961,3878,3878,14.612,49.807,0,0.433,0.47,0.335,0.464,0.065,912.779,1209.422,797.189,858.033,150.7
Kinesin-4,69,Track_3921,22,0,0,0,0,0,11.739,122.421,134.16,4.607,3921,3921,41.435,25.648,0,0.501,1.419,0.215,0.376,0.379,848.129,1249.088,382.374,824.924,235.299
Kinesin-4,70,Track_3936,5,0,0,0,0,0,2.236,123.539,125.775,0.907,3936,3936,38.886,42.783,0,0.41,0.505,0.242,0.487,0.12,867.116,1058.998,357.445,974.49,260.534
Kinesin-4,71,Track_4031,4,0,0,0,0,0,1.677,125.216,126.893,0.278,4031,4031,19.713,39.871,0,0.182,0.361,0.054,0.133,0.159,850.413,1071.075,649.361,923.571,160.524
Kinesin-4,72,Track_4066,6,0,0,0,0,0,2.795,126.334,129.129,0.979,4066,4066,57.951,28.033,0,0.515,0.558,0.447,0.515,0.043,919.914,1070.438,551.86,977.797,168.975
Kinesin-4,73,Track_4092,3,0,0,0,0,0,1.118,127.452,128.57,0.274,4092,4092,62.42,49.822,0,0.248,0.372,0.124,0.372,0.176,1032.4,1187.81,799.48,1109.911,167.742
Kinesin-4,74,Track_4111,41,2,2,0,0,0,24.596,128.011,152.607,1.114,4111,4111,9.742,15.76,0,0.117,0.542,0.005,0.095,0.112,987.734,1801.452,375.675,1094.217,401.572
Kinesin-4,75,Track_4119,2,0,0,0,0,0,0.559,128.011,128.57,0.304,4119,4119,35.186,42.608,0,0.544,0.544,0.544,0.544,NaN,1800.406,1815.424,1785.388,1815.424,15.018
Kinesin-4,76,Track_4216,2,0,0,0,0,0,0.559,130.806,131.365,0.306,4216,4216,46.33,38.826,0,0.548,0.548,0.548,0.548,NaN,871.571,975.366,767.776,975.366,103.795
Kinesin-4,77,Track_4247,5,0,0,0,0,0,2.236,131.924,134.16,1.147,4247,4247,18.903,48.161,0,0.908,2.499,0.332,0.458,1.062,908.702,1177.046,760.457,878.603,145.847
Kinesin-4,78,Track_4439,4,0,0,0,0,0,1.677,137.514,139.191,0.568,4439,4439,13.681,47.009,0,0.339,0.378,0.311,0.327,0.035,1407.387,1860.77,470.577,1761.726,553.487
Kinesin-4,79,Track_4736,3,0,0,0,0,0,1.118,145.899,147.017,0.57,4736,4736,74.889,40.301,0,0.51,0.516,0.503,0.516,0.009,1005.065,1075.167,900.339,1039.688,75.455
Kinesin-4,80,Track_4930,3,0,0,0,0,0,1.118,151.489,152.607,0.387,4930,4930,18.792,43.928,0,0.347,0.416,0.277,0.416,0.098,960.55,1184.692,521.016,1175.944,310.818
Kinesin-4,81,Track_5173,10,0,0,0,0,0,5.031,157.079,162.11,2.497,5173,5173,72.007,22.179,0,0.498,1.477,0.263,0.41,0.373,1076.67,1579.471,927.819,1031.003,182.179
Kinesin-4,82,Track_5216,5,0,0,0,0,0,2.236,158.756,160.992,0.693,5216,5216,36.55,15.57,0,0.318,1.022,0.042,0.162,0.472,911.035,1278.562,605.977,887.575,231.906
Kinesin-4,83,Track_5260,7,0,0,0,0,0,3.354,159.874,163.228,2.912,5260,5260,25.926,37.124,0,0.869,2.574,0.48,0.536,0.837,1054.994,1367.702,833.897,1004.903,195.174
Kinesin-4,84,Track_5292,18,0,0,0,0,0,9.503,160.433,169.936,2.653,5292,5292,24.24,19.343,0,0.484,1.952,0.053,0.42,0.443,847.722,1579.1,609.572,811.165,231.099
Kinesin-4,85,Track_5484,10,0,0,0,0,0,5.031,165.464,170.495,2.463,5484,5484,23.834,36.375,0,0.492,1.703,0.229,0.344,0.464,1418.7,1703.706,953.336,1485.595,203.292
Kinesin-4,86,Track_5506,12,1,2,0,0,0,7.267,165.464,172.731,3.979,5506,5506,50.4,41.076,0,0.655,1.906,0.371,0.559,0.425,899.877,1354.734,446.276,730.869,318.916
Kinesin-4,87,Track_5666,7,0,0,0,0,0,3.354,169.936,173.29,0.975,5666,5666,30.357,78.787,0,0.3,0.396,0.219,0.284,0.068,876.923,1103.629,418.781,935.829,203.074
Kinesin-4,88,Track_5679,96,2,2,0,0,0,55.341,170.495,225.836,0.314,5679,5679,53.301,40.93,0,0.031,0.154,9.92E-04,0.023,0.027,1960.118,2406.827,1424.486,2005.957,263.28
Kinesin-4,89,Track_5703,8,0,0,0,0,0,3.913,171.054,174.967,2.812,5703,5703,18.526,45.044,0,0.72,2.215,0.381,0.441,0.668,1064.153,1375.937,860.024,1042.15,147.096
Kinesin-4,90,Track_5812,31,2,2,0,0,0,19.006,173.849,192.855,0.319,5812,5812,26.019,22.203,0,0.34,1.617,0.019,0.3,0.333,1030.26,1569.835,322.717,1065.15,290.755
Kinesin-4,91,Track_5841,7,0,0,0,0,0,3.354,173.849,177.203,2.336,5841,5841,50.691,46.268,0,0.697,1.911,0.179,0.597,0.617,1066.309,1288.289,369.119,1155.156,292.215
Kinesin-4,92,Track_5953,5,0,0,0,0,0,2.236,176.644,178.88,0.672,5953,5953,46.433,56.137,0,0.301,0.434,0.21,0.322,0.1,936.168,1226.222,493.643,910.471,260.31
Kinesin-4,93,Track_5954,5,0,0,0,0,0,2.236,176.644,178.88,0.955,5954,5954,24.448,25.103,0,0.428,0.555,0.318,0.426,0.098,906.846,1121.126,795.285,816.724,132.989
Kinesin-4,94,Track_6084,8,0,0,0,0,0,3.913,178.88,182.793,0.55,6084,6084,50.563,23.567,0,0.18,0.95,0.013,0.05,0.342,959.275,1171.234,497.56,1149.206,263.584
Kinesin-4,95,Track_6188,5,0,0,0,0,0,2.236,182.234,184.47,0.851,6188,6188,19.373,41.558,0,0.381,0.437,0.317,0.401,0.051,1146.284,1353.717,977.144,1077.401,138.064
Kinesin-4,96,Track_6277,25,2,1,0,0,0,14.534,185.029,199.563,5.457,6277,6277,48.083,25.651,0,0.405,1.265,0.11,0.315,0.328,979.174,1665.908,286.22,1044.942,389.968
Kinesin-4,97,Track_6368,7,0,0,0,0,0,3.354,186.706,190.06,0.558,6368,6368,67.041,17.887,0,0.229,0.606,0.026,0.111,0.273,952.087,1839.2,452.446,996.913,476.221
Kinesin-4,98,Track_6406,17,0,0,0,0,0,8.944,187.824,196.768,4.73,6406,6406,27.665,25.115,0,0.552,1.727,0.186,0.392,0.47,881.179,1488.906,631.114,808.695,197.118
Kinesin-4,99,Track_6424,4,0,0,0,0,0,1.677,188.383,190.06,0.414,6424,6424,38.273,30.867,0,0.398,0.935,0.116,0.142,0.466,969.21,1651.87,300.179,1271.645,525.593
Kinesin-4,100,Track_6468,10,0,0,0,0,0,5.031,190.619,195.65,2.761,6468,6468,12.862,50.253,0,0.558,1.521,0.369,0.45,0.363,838.622,1020.072,660.964,883.612,122.024
Kinesin-4,101,Track_6543,24,0,0,0,0,0,12.857,191.737,204.594,6.665,6543,6543,40.305,24.963,0,0.588,1.767,0.217,0.486,0.408,1014.611,1825.024,302.435,1009.254,554.341
Kinesin-4,102,Track_6586,10,0,0,0,0,0,5.031,193.414,198.445,3.179,6586,6586,33.683,20.279,0,0.659,2.235,0.361,0.465,0.596,887.119,1123.631,568.629,929.206,160.849
Kinesin-4,103,Track_6693,4,0,0,0,0,0,1.677,196.209,197.886,0.575,6693,6693,49.019,28.552,0,0.343,0.44,0.277,0.312,0.085,959.884,1017.811,911.498,996.392,47.829
Kinesin-4,104,Track_6727,12,1,1,0,0,0,6.708,196.209,202.917,1.492,6727,6727,28.542,16.008,0,0.36,1.044,0.102,0.292,0.293,861.422,1124.968,300.267,928.292,265.033
Kinesin-4,105,Track_6729,54,1,1,0,0,0,30.186,196.209,226.395,0.342,6729,6729,50.506,35.315,0,0.261,1.077,0.012,0.186,0.253,882.548,1225.524,433.348,927.351,198.886
Kinesin-4,106,Track_6924,12,0,0,0,0,0,6.149,200.681,206.83,3.167,6924,6924,19.98,10.719,0,0.533,1.396,0.16,0.38,0.416,876.569,1109.265,682.223,874.972,142.008
Kinesin-4,107,Track_6949,19,0,0,0,0,0,10.062,201.799,211.861,0.974,6949,6949,23.437,9.258,0,0.384,2.501,0.009,0.267,0.569,871.54,1338.42,657.724,811.53,181.819
Kinesin-4,108,Track_7079,9,0,0,0,0,0,4.472,204.594,209.066,0.891,7079,7079,49.033,4.17,0,0.782,2.21,0.531,0.57,0.578,1081.041,1823.836,283.195,1594.984,701.541
Kinesin-4,109,Track_7112,33,1,2,0,0,0,19.006,205.153,224.159,0.587,7112,7112,24.88,13.008,0,0.296,0.863,0.004,0.305,0.224,863.835,1902.822,307.692,730.262,471.397
Kinesin-4,110,Track_7523,11,1,2,0,0,0,6.708,215.774,222.482,2.334,7523,7523,46.876,34.945,0,0.592,1.264,0.394,0.546,0.25,898.167,1469.233,359.901,845.009,361.984
Kinesin-4,111,Track_7711,5,0,0,0,0,0,2.236,218.569,220.805,0.986,7711,7711,61.398,23.759,0,0.441,0.498,0.375,0.49,0.062,884.928,1201.37,635.052,709.952,248.707
Kinesin-4,112,Track_7713,2,0,0,0,0,0,0.559,218.569,219.128,0.44,7713,7713,43.4,44.794,0,0.786,0.786,0.786,0.786,NaN,897.643,1357.212,438.074,1357.212,459.569
Kinesin-4,113,Track_7726,4,0,0,0,0,0,1.677,218.569,220.246,0.748,7726,7726,28.905,24.71,0,0.451,0.53,0.333,0.489,0.104,884.219,956.176,772.291,929.218,70.278
Kinesin-4,114,Track_7832,3,0,0,0,0,0,1.118,221.364,222.482,0.589,7832,7832,25.85,32.897,0,0.563,0.586,0.539,0.586,0.034,928.714,1042.449,747.638,996.054,129.433
Kinesin-4,115,Track_7939,15,0,0,0,0,0,7.826,224.159,231.985,1.415,7939,7939,50.485,33.33,0,0.2,0.597,0.018,0.168,0.166,850.351,1258.754,613.97,840.681,138.768
Kinesin-4,116,Track_8301,7,0,0,0,0,0,3.354,231.426,234.78,2.089,8301,8301,48.999,47.187,0,0.623,1.556,0.257,0.509,0.474,877.134,1156.004,797.244,822.412,118.013
Kinesin-4,117,Track_8451,5,0,0,0,0,0,2.236,235.339,237.575,0.468,8451,8451,46.638,67.732,0,0.21,0.375,0.113,0.221,0.119,2179.4,2384.074,1999.715,2119.958,135.688
Kinesin-4,118,Track_8454,5,0,0,0,0,0,2.236,235.339,237.575,1.296,8454,8454,24.367,25.832,0,0.58,0.622,0.507,0.607,0.051,854.228,945.21,709.563,843.646,85.657
Kinesin-4,119,Track_8543,16,0,0,0,0,0,8.385,238.134,246.519,0.856,8543,8543,59.663,38.656,0,0.11,0.546,0.02,0.059,0.137,1047.968,1384.538,720.341,1036.634,174.263
Kinesin-4,120,Track_8632,13,0,0,0,0,0,6.708,239.811,246.519,3.262,8632,8632,50.704,28.662,0,0.504,1.438,0.109,0.433,0.442,1084.46,1765.3,475.37,1028.892,433.232
Kinesin-4,121,Track_8733,9,0,0,0,0,0,4.472,243.165,247.637,1.8,8733,8733,50.61,45.021,0,0.467,0.927,0.112,0.472,0.346,860.898,1351.471,343.324,885.143,344.128
Kinesin-4,122,Track_8775,4,0,0,0,0,0,1.677,243.724,245.401,0.661,8775,8775,16.173,17.107,0,0.394,0.425,0.371,0.387,0.028,847.838,918.829,778.719,874.707,53.304
Kinesin-4,123,Track_8835,22,1,1,0,0,0,12.298,244.842,257.14,6.368,8835,8835,33.069,42.573,0,0.75,2.084,0.239,0.569,0.501,955.274,1285.408,284.644,1006.76,264.008
Kinesin-4,124,Track_8961,5,1,2,0,0,0,3.354,246.519,249.873,0.686,8961,8961,52.95,30.01,0,0.455,0.583,0.326,0.528,0.12,987.048,1385.397,542.363,1171.365,347.642
Kinesin-4,125,Track_8993,18,1,1,0,0,0,10.062,249.314,259.376,3.827,8993,8993,16.753,52.546,0,0.608,2.226,0.255,0.454,0.463,869.36,1394.366,320.726,1003.91,304.201
Kinesin-4,126,Track_9027,5,0,0,0,0,0,2.236,249.314,251.55,0.912,9027,9027,57.901,22.636,0,0.409,0.423,0.396,0.415,0.012,958.659,1072.171,784.289,972.686,99.525
Kinesin-4,127,Track_9032,5,0,0,0,0,0,2.236,249.314,251.55,0.733,9032,9032,50.524,33.068,0,0.329,0.456,0.213,0.351,0.102,881.921,1513.54,417.877,926.579,379.048
Kinesin-4,128,Track_9281,5,0,0,0,0,0,2.236,254.904,257.14,0.829,9281,9281,57.296,24.902,0,0.375,0.574,0.091,0.454,0.205,887.801,939.67,832.911,883.86,36.286
Kinesin-4,129,Track_9350,78,1,1,0,0,0,43.602,256.022,299.624,1.058,9350,9350,53.389,40.713,0,0.071,0.853,0.002,0.025,0.131,1961.303,2639.4,1451.327,1930.628,278.184
Kinesin-4,130,Track_9358,14,0,0,0,0,0,7.267,257.14,264.407,0.928,9358,9358,46.473,66.581,0,0.565,1.931,0.063,0.468,0.495,1462.328,2182.544,278.022,1704.041,640.183
Kinesin-4,131,Track_9543,4,0,0,0,0,0,1.677,261.053,262.73,0.757,9543,9543,50.598,23.456,0,0.451,0.527,0.389,0.439,0.07,850.105,1049.83,725.239,837.41,121.97
Kinesin-4,132,Track_9606,5,0,0,0,0,0,2.236,262.73,264.966,0.272,9606,9606,50.584,25.363,0,0.422,0.613,0.119,0.584,0.229,855.041,1342.812,278.789,909.257,365.921
Kinesin-4,133,Track_9617,7,0,0,0,0,0,3.354,263.289,266.643,1.396,9617,9617,17.71,45.312,0,0.431,0.796,0.044,0.468,0.244,858.546,1225.988,323.466,1042.626,342.689
Kinesin-4,134,Track_9677,65,0,0,0,0,0,35.776,263.848,299.624,2.154,9677,9677,47.477,71.359,0,0.109,1.272,0.004,0.043,0.191,1297.787,2544.974,633.53,1096.197,509.327
